"key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","doi","keywords","pubmed_id","pmc_id","notes"
"rayyan-177329524","Language-universal sensory deficits in developmental dyslexia: English, Spanish, and Chinese.",NA,1,1,"","",23,2,"","","","eng","MIT Press",NA,"Studies in sensory neuroscience reveal the critical importance of accurate sensory perception for cognitive development. There is considerable debate concerning the possible sensory correlates of <i>phonological processing</i>, the primary cognitive risk factor for developmental dyslexia. Across languages, children with dyslexia have a specific difficulty with the neural representation of the phonological structure of speech. The identification of a robust sensory marker of phonological difficulties would enable early identification of risk for developmental dyslexia and early targeted intervention. Here, we explore whether phonological processing difficulties are associated with difficulties in processing acoustic cues to speech rhythm. Speech rhythm is used across languages by infants to segment the speech stream into words and syllables. Early difficulties in perceiving auditory sensory cues to speech rhythm and prosody could lead developmentally to impairments in phonology. We compared matched samples of children with and without dyslexia, learning three very different spoken and written languages, English, Spanish, and Chinese. The key sensory cue measured was rate of onset of the amplitude envelope (rise time), known to be critical for the rhythmic timing of speech. Despite phonological and orthographic differences, for each language, rise time sensitivity was a significant predictor of phonological awareness, and rise time was the only consistent predictor of reading acquisition. The data support a language-universal theory of the neural basis of developmental dyslexia on the basis of rhythmic perception and syllable segmentation. They also suggest that novel remediation strategies on the basis of rhythm and music may offer benefits for phonological and linguistic development. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","10.1162/jocn.2010.21453","",NA,NA,""
"rayyan-177329525","Perceptual skills underlying phonological deficits in children: Evidence from behavioral and electrophysiological measures of speech perception.",NA,1,1,"","",74,7,"","","","eng","ProQuest Information & Learning",NA,"Deficits in phonology, which are related to the organization and retrieval of speech sounds in the mental lexicon are associated with two distinct clinical disorders, dyslexia (DYS) and speech-sound disorder (SSD). Three studies were conducted to identify the relationship between speech perception and phonological functioning in these children. Thirty-eight children (7;6–9;6 years) with DYS, SSD, DYS/SSD and their typically-developing (TD) peers participated in this investigation. The first study presented children with three syllable discrimination tasks to determine their sensitivity to specific acoustic-phonetic contrasts. All children performed discriminated /bα – wα/, an early-developing acoustic contrast, equally well. Children with phonological impairments had more difficulty discriminating a spectro-temporal cue distinguishing place of articulation, /dα – gα/ than TD children. Children with SSD performed poorly discriminating a spectro-temporal cue for a speech production error, /rα – wα/. However, children with DYS/SSD discriminated this same contrast with no difficulty, despite the fact children in both groups exhibited a similar speech production error. The second study evaluated the importance of non-linguistic characteristics of speech on children with phonological deficits and their TD peers during word recognition. All children performed equally well on the word recognition tasks. However, exploratory analysis revealed children with SSD exhibit particular weakness for the processing of fine spectral cues during word recognition. The third study evaluated underlying neural processes during speech identification of three syllable contrasts. Findings showed that children with phonological deficits exhibited electrophysiological processing differences as compared to their TD peers. Children with DYS or SSD exhibited delayed and inefficient neural processing for /dα – gα/, whereas children with DYS/SSD exhibited further delayed and more inefficient neural processing for this same contrast. Children with SSD and DYS/SSD discriminated /rα – wα/ at a significantly later stage of neural processing than their peers. These findings suggest children with disorders of phonology exhibit less efficient and less automatic neural processes for speech perception. Taken together, these studies provide evidence that measures of speech perception distinguish children with differing deficits in phonology. Further research is warranted to determine the utility of these measures for early identification for children at risk for long-term effects of these deficits. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","","",NA,NA,""
"rayyan-177329526","Training direction-discrimination sensitivity remediates a wide spectrum of reading skills.",NA,1,1,"","",38,1,"","","","eng","College of Optometrists in Vision Development (COVD)",NA,"Background: This study investigated whether timing deficits in the motion pathways represent a core deficit in inefficient readers who are dyslexic. Methods: Inefficient and efficient readers in grades 2 and 3 in four public elementary schools were studied. Component literacy skills were measured before and after training. In the training task of interest, participants judged the direction of motion (left vs. right) of a vertically oriented sinusoidal grating, surrounded by one of five different background frequencies. The threshold contrast for direction discrimination was measured. Results: Direction discrimination improved the most for inefficient readers following training. Moreover, following training the time to complete the task decreased significantly, showing that the timing of direction discrimination improves, as does the gain. For inefficient readers, training on direction discrimination resulted in significant improvements in reading efficiency and fluency. Inefficient readers in control conditions showed minimal improvement. Conclusions: Significant improvements in reading performance were found following training on direction discrimination. This study provides evidence that timing deficits in inefficient readers represent a core deficit. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","","",NA,NA,""
"rayyan-177329528","Abrupt and ramped flicker-defined form shows evidence for a large magnocellular impairment in dyslexia.",NA,1,1,"","",50,8,"","","","eng","Elsevier Science",NA,"Controversy still exists over whether there is a magnocellular deficit associated with developmental dyslexia. Here we utilised a magnocellular system-biased phantom contour form discrimination task defined by high temporal frequency contrast reversals to compare contrast sensitivity in a group of children with dyslexia and an age- and nonverbal intelligence-matched control group (9–14 years). Stimuli were either abruptly presented for 4 refresh frames (34 ms), or in two reduced transience conditions had contrast progressively ramped on and off over either 4 frames or 10 frames (86 ms). Children in the dyslexia group showed increased contrast thresholds compared with the control group in all three conditions, and thus strong evidence for a magnocellular deficit. Although the absolute size of the differences in threshold scores between control and dyslexic groups increased dramatically between the abrupt and the 4 and 10 frame ramped onset stimuli, the similar effect size across all tasks, and also the similar range of contrast change at the first frame of stimulus presentation across all tasks between groups suggests that a similar neural mechanism could provide the locus of the apparent magnocellular deficit in children with dyslexia for all tasks tested. These results suggest that threshold discrimination of stimuli with low contrast and high temporal frequencies designed to target the magnocellular system, and has great potential for early screening for children at risk of visually derived reading difficulties. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","10.1016/j.neuropsychologia.2012.05.012","",NA,NA,"RAYYAN-INCLUSION: {""Balade""=>""Maybe"", ""rater1""=>""Excluded"", ""rater2""=>""Excluded"", ""rater3""=>""Included""} | RAYYAN-LABELS: bloque 1"
"rayyan-177329529","Developing syntactic sensitivity in reading through phrase-cued texts.",NA,1,1,"","",NA,NA,"","","","eng","Arena Press",NA,"Highlights the benefits of developing students' skills in grouping text into syntactically appropriate units as a way of addressing reading problems and increasing proficiency. The following topics are discussed: difficulties in reading, syntactic processing, phrase-cued texts, and phrased-cued text lesson. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Excluded"", ""rater2""=>""Excluded"", ""rater3""=>""Included""} | RAYYAN-LABELS: bloque 1 | USER-NOTES: {""rater1""=>[""no lo encontro el articulo""]}"
"rayyan-177329530","Assessing dyslexia in higher education: The York adult assessment battery-revised.",NA,1,1,"","",13,1,"","","","eng","Wiley-Blackwell Publishing Ltd.",NA,"Although there are a number of standardised measures to assess dyslexia in children, there are comparatively fewer instruments suitable for the assessment of dyslexia in adults. Given the growing number of students entering UK higher education institutions, there is a need to develop reliable tools for assessing the additional needs of those with dyslexia and related difficulties. This study reports data from a revised version of the <i>York Adult Assessment</i>: An Assessment Battery for Dyslexia Screening in Higher Education. The current <i>York Adult Assessment-Revised (YAA-R)</i> is an assessment battery consisting of tests of reading, spelling, writing and phonological skills. Data from a normative sample of 106 adults without dyslexia and a validation sample of 20 adults with dyslexia illustrate significant group differences on the tests comprising the <i>YAA-R</i>. Additionally, the <i>YAA-R</i> has good discriminatory power yielding 80% sensitivity and 97% specificity. Taken together, the <i>YAA-R</i> is a suitable test battery for the assessment and identification of dyslexia in university students. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","10.1111/j.1471-3802.2012.01264.x","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Excluded"", ""rater2""=>""Excluded"", ""rater3""=>""Excluded""} | RAYYAN-LABELS: bloque 1 | USER-NOTES: {""rater1""=>[""por edad""]}"
"rayyan-177329531","Can a questionnaire be useful for assessing reading skills in adults? Experiences with the adult reading questionnaire among incarcerated and young adults in Norway.",NA,1,1,"","",11,4,"","","","eng","MDPI",NA,"Background: Good screening tools can be of immense value in educational counselling for adults. We report two studies where we explored the factor structure and discriminative power of the Adult Reading Questionnaire (ARQ) in different samples of young adults at risk for reading impairments. Method: The ARQ was designed to screen for literacy skills with low resource requirement. The instrument includes 11 questions regarding reading and writing skills and 6 questions regarding attention deficits and hyperactivity. The first study included of 246 undergraduate students. One-third of the sample were under assessment of specific learning impairments/dyslexia. The second study included 1475 incarcerated adults, where 1 in 4 reported specific reading impairments. Results: Principal Component Analyses (PCA) with varimax rotation returned four components for the participants in Study 1: Reading skills, Reading habits, Attention, and Hyperactivity. For the incarcerated sample in Study 2, the analysis returned three components, as the Attention and Hyperactivity items were combined. Conclusion: The ARQ is useful for identifying individuals at risk for dyslexia with acceptable measures of sensitivity and specificity, as well as for identifying those who report difficulties with reading and writing but have not been assessed for their difficulties earlier. The increased prevalence of attention-deficit/hyperactivity disorder (ADHD) seen among incarcerated adults must be considered when screening for reading problems as it may confound the scores on reading questionnaires. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","10.3390/educsci11040154","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Excluded"", ""rater2""=>""Excluded"", ""rater3""=>""Excluded""} | RAYYAN-LABELS: bloque 1 | USER-NOTES: {""rater1""=>[""edad""]}"
"rayyan-177329532","A comparison of two early education literacy benchmark assessments.",NA,1,1,"","",69,3,"","","","eng","ProQuest Information & Learning",NA,"The need for public education accountability and recent federal legislation such as No Child Left Behind (NCLB) and Individuals with Disabilities Education Act (IDEA) requires effective assessment of all children to ensure adequate instruction. Assessment measures that attempt to provide this accountability vary greatly in terms of type of measure, required assessment time, and predictive relationship with end-of-year state assessment measures. The most prevalent assessment tool in Virginia is the Phonological Awareness Literacy Screener (PALS) which was developed by the University of Virginia to facilitate the Lady Intervention Reading Initiative, an initiative established to reduce the number of children with reading problems by early diagnosis and immediate intervention. PALS has an adoption rate by public school divisions in Virginia close to 100%. Another literacy screener is AIMSweb, developed by Edformation and currently owned by Pearson. It is used in progress monitoring in other states, and commonly used to facilitate Response to Intervention (RtI), a system-wide early identification and intervention process that attempts to provide research-based and alternate forms of instruction within the general education environment. This study compared these two operationally divergent universal screeners for early literacy. The first comparison determined whether AIMSweb identified the same population as at-risk that PALS identified as at-risk, This was a direct comparison of 2007-2008 fall benchmark results. Findings indicated that AIMSweb measures identified the same students that the PALS measures identified, and many component measures had highly significant correlations. This second comparison determined the sensitivity and specificity of PALS 1-3 in predicting the success or failure on the third grade Standards of Learning assessment (SOLA). Third grade fall and spring PAIS scores from 2006-2007 were compared to performance on the third grade 2000-2007 SOL assessment. These findings demonstrate that PALS 1-3 fall scores have a lower correlation with SOLA results than is stated in the PALS technical manual, but higher than the most recent study that examined the correlation between PALS and the SOLA. It also determined that the measure had less sensitivity and specificity in the spring benchmark assessment period than the fall. Recommendations were made to consider the efficiency of using AIMSweb as an initial screener, and then utilizing PALS for those identified students for whom more diagnostic assessment is needed. AIMSweb would also provide an additional and needed tool for predicting SOLA performance. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Included"", ""rater2""=>""Excluded"", ""rater3""=>""Excluded""} | RAYYAN-LABELS: bloque 1"
"rayyan-177329533","The nature and specificity of paired associate learning deficits in children with dyslexia.",NA,1,1,"","",71,1,"","","","eng","Elsevier Science",NA,"We report three experiments investigating the specificity and nature of paired associate learning (PAL) deficits in children with dyslexia. Experiments 1 and 2 compared children with dyslexia and age-matched controls across the following stimulus–response mapping conditions, designed to dissociate crossmodal and verbal demands: visual–verbal, verbal–verbal, visual–visual, and verbal–visual. Children with dyslexia exhibited deficits in visual–verbal and verbal–verbal PAL only. Experiment 3 investigated the stage of learning in which PAL deficits arise by separating the verbal learning and associative learning components of a visual–verbal PAL task. Results revealed an item-specific relationship between phonological form learning and later associative learning success. Visual–verbal PAL deficits were fully accounted for by the preceding deficit in phonological form learning. Together, our results show that PAL deficits in dyslexia are not a consequence of difficulties with associative learning; instead, they are best characterized as deficits in phonological form learning. The implications of these findings for theories of reading development and dyslexia are discussed. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","10.1016/j.jml.2013.10.005","",NA,NA,""
"rayyan-177329534","Six‐minute screening test can provide valid information about the skills that underlie childhood reading and cognitive abilities.",NA,1,1,"","",108,7,"","","","eng","Wiley-Blackwell Publishing Ltd.",NA,"Aim: Reading difficulties can have complex origins and diagnostic measures can be expensive and time consuming. We tested Zippy6, a six-minute screening test that we developed, to see how it compared with a battery of established screening tools. Methods: This study was carried out at Cincinnati Children’s Hospital Medical Center, USA, from 2014–2016. We recruited 81 children with reading difficulties and 44 typical readers of six years to 14 years of age (grades 1–8) using advertisements that were placed in healthcare clinics in the community and on hospital announcement boards. The subjects completed a full reading evaluation, which comprised standardised tests and the new Zippy6 screening test. Standard scores from the traditional and Zippy6 tests were compared, and Support Vector Machine learning methods and algorithms were used to examine the results. Results: Significant positive correlations existed between all of the traditional tests and the Zippy6 screening test. The sensitivity and specificity for the ability of the Zippy6 to discriminate between children with reading difficulties and typical readers were both 75%. Conclusion: Using the Zippy6 provided valid information about the skills that underlie reading and cognitive abilities. This screening test could be used by clinicians as either a prediagnostic tool or for postintervention assessment. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","10.1111/apa.14680","",NA,NA,""
"rayyan-177329535","Left visual field bias during face perception aligns with individual differences in reading skills and is absent in dyslexia.",NA,1,1,"","",NA,NA,"","","","eng","Wiley-Blackwell Publishing Ltd.",NA,"Background When looking at faces, we tend to attend more to the left visual field (corresponding to the right side of the person's face). This phenomenon is called the left visual field bias (LVF) and is presumed to reflect the brain's right‐sided dominance for face processing. Whether alterations in hemispheric dominance are present in dyslexia, and are linked with individual differences in word reading development more generally, is still unclear, and no prior research has utilized gaze‐based LVF bias to explore these topics. Aims The aim of the study was to examine whether the LVF bias differs in dyslexia and to examine the association with word‐reading skills assessed dimensionally. Sample Forty‐six 9–13 year‐old children with dyslexia and community control children, matched on age and listening comprehension. Methods Participants were presented with a recorded face on a screen while their gaze patterns were collected with an eye tracker. Fixations to the left versus the right side of the face stimuli were compared. Results Results showed a clear LVF bias in community controls, while no such bias was seen in the dyslexic group. Moreover, the strength of the LVF bias was correlated with better word reading in the controls. Conclusions Our results suggest a link between weakened hemispheric dominance for face processing in dyslexia and in poor word reading, at least to the extent that the LVF bias actually mirrors underlying physiology. We discuss the implications of these novel findings, highlighting the need for future research to determine the specificity and developmental sources of LVF bias alterations. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","10.1111/bjep.12559","",NA,NA,""
"rayyan-177329536","Screening of phonological awareness in the early elementary grades: An IRT approach.",NA,1,1,"","",57,1,"","","","eng","Springer",NA,"The purpose of the present study was to explore the possibilities for the assessment of growth in phonological awareness of children in kindergarten and first grade. Phonological awareness was measured using four sets of items involving rhyming, phoneme identification, phoneme blending, and phoneme segmentation. The results of an exploratory factor analysis and analyses conducted within the framework of item response theory showed one latent ability to underlie the different sets of items, which nevertheless differed in difficulty. Analyses in terms of the children's ability further showed the phonological awareness measures to be sensitive to growth. The amount of information supplied by the different sets of items depended on the children's level of ability. The conclusion that it is possible to accurately monitor the development of children's phonological awareness in the early elementary grades appears to be justified, and this possibility opens up new perspectives for the early screening for reading problems and dyslexia. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","10.1007/s11881-007-0001-2","",NA,NA,""
"rayyan-177329537","Parents’ reading history as an indicator of risk for reading difficulties.",NA,1,1,"","",67,3,"","","","eng","Springer",NA,"Children from families whose members have reading impairments are found to be poorer performers, take less advantage of instruction, and require more time to reach the reading level of children whose relatives are good readers. As a family’s reading history may not be available, a self-report of reading abilities is used to identify children’s background. In this paper, we explored the contribution of phonological, literacy, and linguistic abilities and reported parental reading abilities to predict reading achievement at the end of the school year in a Spanish sample. Children who were starting to read were assessed in a variety of oral language, phonological, and literacy tasks at the beginning and end of the school year. Parents filled out a self-report questionnaire about their reading abilities. Their answers were used to assign children to good or poor reader parent groups (GRP vs PRP). A logistic and ROC analysis were used to assess the variables’ discriminative capability, considering literacy scores at the end of the year as a measure of reading achievement. GRP children obtained higher scores than PRP children did. Performance on tasks of rapid naming assessment (RAN) letters (78.6%), Word Reading (75.7%), and Deletion (75.6%) were the most accurate predictors of children’s reading achievement. IPRA showed slightly lower accuracy (73.8) than did the behavioral measures and as high specificity as RAN letters (96.2%), similarly to the percentages found in previous studies. Although behavioral measures were shown as the best predictors, parents’ self-reports could also provide a quick estimation of family risk of difficulties in literacy acquisition. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","10.1007/s11881-017-0143-9","",NA,NA,""
"rayyan-177329538","Identifying children at risk for language impairment or dyslexia with group-administered measures.",NA,1,1,"","",60,12,"","","","eng","American Speech-Language-Hearing Assn",NA,"Purpose: The study aims to determine whether brief, group-administered screening measures can reliably identify second-grade children at risk for language impairment (LI) or dyslexia and to examine the degree to which parents of affected children were aware of their children’s difficulties. Method: Participants (<i>N</i> = 381) completed screening tasks and assessments of word reading, oral language, and nonverbal intelligence. Their parents completed questionnaires that inquired about reading and language development. Results: Despite considerable overlap in the children meeting criteria for LI and dyslexia, many children exhibited problems in only one domain. The combined screening tasks reliably identified children at risk for either LI or dyslexia (area under the curve = 0.842), but they were more accurate at identifying risk for dyslexia than LI. Parents of children with LI and/or dyslexia were frequently unaware of their children’s difficulties. Parents of children with LI but good word reading skills were the least likely of all impairment groups to report concerns or prior receipt of speech, language, or reading services. Conclusions: Group-administered screens can identify children at risk of LI and/or dyslexia with good classification accuracy and in less time than individually administered measures. More research is needed to improve the identification of children with LI who display good word reading skills. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","10.1044/2017_JSLHR-L-16-0473","",NA,NA,""
"rayyan-177329539","Multivariate predictive model for dyslexia diagnosis.",NA,1,1,"","",61,1,"","","","eng","Springer",NA,"Dyslexia is a specific disorder of language development that mainly affects reading. Etiological researches have led to multiple hypotheses which induced various diagnosis methods and rehabilitation treatments so that many different tests are used by practitioners to identify dyslexia symptoms. Our purpose is to determine a subset of the most efficient ones by integrating them into a multivariate predictive model. A set of screening tasks that are the most commonly used and representative of the different cognitive aspects of dyslexia was proposed to 78 children from elementary school (mean age = 9 years ± 7 months) exempt from identified reading difficulties and to 35 dyslexic children attending a specialized consultation for dyslexia. We proposed a multi-step procedure: within each category, we first selected the most representative tasks using principal component analysis and then we implemented logistic regression models on the preselected variables. Spelling and reading tasks were considered separately. The model with the best predictive performance includes eight variables from four categories of tasks and classifies correctly 94% of the children. The sensitivity (91%) and the specificity (95%) are both high. Forty minutes are necessary to complete the test. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","10.1007/s11881-010-0038-5","",NA,NA,""
"rayyan-177329540","Separating genuine cases of reading disability from reading deficits caused by predominantly inattentive ADHD behavior.",NA,1,1,"","",35,5,"","","","eng","PRO-ED",NA,"Conventional methods of differentiating reading disability (RD) caused by deficits in decoding skills or comprehension from poor reading performance caused by inconsistent attention associated with attention-deficit/ hyperactivity disorder (ADHD) have produced equivocal results. This study hypothesized that children with inconsistent attention would perform more poorly on tests that require sustained attention, such as listening comprehension, than on tests that are more tolerant of inattention, such as reading comprehension. Such differences would not be seen in the test scores of children who have only RD, because their performance is determined more by the difficulty level of the reading tests than by the degree of sensitivity of the task to attention. The validity of this new model was evaluated by determining the capability of the differences seen in the scores of tests that differ in their sensitivity to sustained attention to predict the degree of inconsistency in sustained attention as measured by a continuous performance test. The data obtained from 39 2nd-5th graders who are at risk for RD suggest that this is a viable model. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","10.1177/00222194020350050301","",NA,NA,""
"rayyan-177329541","The effects of spatial filtering and contrast reduction on visual search times in good and poor readers.",NA,1,1,"","",35,2,"","","","eng","Elsevier Science",NA,"Used spatial filtering and contrast reduction to differentiate between the effects of spatial frequency content and contrast in good and poor readers who were also screened for attention deficit disorder (ADD). Four groups of Ss were studied: 8 control children (mean age 9.5 yrs) classified as good readers, 8 children (mean age 9.1 yrs) classified as good readers and with ADD, 6 children (mean age 10.2 yrs) with specific reading disability (SRD), and 4 children (mean age 10.5 yrs) with both SRD and ADD. With unfiltered stimuli, search times for control and ADD Ss were much faster than those of the SRD and SRD/ADD groups. While both high-pass and low-pass conditions improved the search speed for the SRD/ADD Ss, improvement for the SRD group was obtained only with low-contrast stimuli. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","10.1016/0042-6989(94)00140-H","",NA,NA,""
"rayyan-177329542","The effectiveness of Irlen filters for improving reading performance: A pilot study.",NA,1,1,"","",23,10,"","","","eng","PRO-ED",NA,"Investigated the effectiveness of Irlen filters (H. Irlen, 1983) for improving comfort and reading performance and determined whether traditional optometric intervention would relieve symptoms commonly reported by people seeking help through the use of Irlen filters. 30 Ss (aged 9–51 yrs) were randomly placed in an Irlen filter treatment group, a vision therapy treatment group, or a control group. Pre- and posttesting included a vision evaluation, reading and intelligence testing, scotopic sensitivity screening, and a symptom questionnaire. Both treatment groups were more comfortable after treatment, although only the vision therapy group improved in vision functioning. Ss in the filter group did not show significant gains in reading rate, word recognition in context, or comprehension. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","10.1177/002221949002301007","",NA,NA,""
"rayyan-177329543","Understanding reading through the eyes of third-grade struggling readers.",NA,1,1,"","",74,6,"","","","eng","ProQuest Information & Learning",NA,"Within the vast research base on struggling readers, very few studies address the nature of struggling readers from their own perspectives; that is, how struggling readers experience reading instruction. The purpose of this qualitative case study research was to gain a deeper understanding of how three third-grade struggling readers viewed themselves as readers and how they experienced reading instruction in their classroom setting. In turn, this study captured their realities of being a struggling reader from their own perspectives. Data sources included measures of reading affect (i.e., attitude, motivation, and self-perception), interviews, classroom observations, work samples, records, and drawings. Data for each of the three cases were first analyzed separately using Boeije's (2010) Spiral of Analysis model, and then through a cross case analysis. In looking across the three cases, the unique and complex perceptions of each student were situated in three broad similarities: (a) their perceptions of reading centered on the idea that <i>reading is about hard words,</i> (b) their perceptions of themselves as struggling readers revealed their <i>internal struggles,</i> and (c) their <i>sensitivity to the social</i> in their perceptions of others' perceptions of them. The findings capture the important and often missing voice of the students, a major stakeholder in their own education, which leads to educational implications for reading instruction. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","","",NA,NA,""
"rayyan-177329544","Identifying characteristics of reading disabled students through visual, cognitive and perceptual evaluative testing.",NA,1,1,"","",58,10,"","","","eng","ProQuest Information & Learning",NA,"Visual, cognitive, and perceptual analysis of the processing speed and effects of visual distractors were used to identify characteristics differences between the 'reading disabled' population and students with normal reading ability. A total of eighty-four students, ages 7-16, from the Kentucky's Warren County school system volunteered to participate in the study through responses to newspaper advertisements and teacher referrals. Seventy-one subjects completed the test protocol and were targeted as the medium from which to obtain statistical analyses. Eleven multifaceted protocol tests examined a variety of visual, cognitive, and perceptual processing abilities including acuity, contrast sensitivity, IQ, reading level, and a combination of speed of processing, divided attention, selective attention, and orientation of attention in a visual search paradigm. The majority of the research data gathered for this defined population of 'reading disabled' students was obtained by using a Visual Attention Analyzer. This particular apparatus was utilized to assess each subject's Useful Field of View (UFOV) in terms of the 'percentage reduction (0-90%) of a maximum thirty-five degree radius field' (Ball, Owsley, & Beard, 1990; Ball, Roenker, & Bruni, 1990; Owsley, Ball, Sloane, Roenker, & Bruni, 1991) under varying speed, distractor, and eccentricity conditions. Additionally, 'weighted scores' and subsequent slope comparisons showed a decline in the processing ability of 'reading disabled' students when speed and cognitive complexity of assignments was a factor in visual tasks. Evidence of measurable characteristic differences of processing abilities and performance on visual localization tasks where distractors were present in the visual field was indicated by a greater impact of stimulus duration on the reading impaired individuals relative to normal readers when evaluated on the Visual Attention Analyzer. Discrepancy levels between IQ scores and reading performance scores, respectively, with unstable mean scores for subjects under the age of 9 and IQ scores below 100 were significantly different and indicated specific developmental parameters to be considered for early identification of 'reading disabled' students. Based on the results of this study, further investigation could be conducted to determine the effect of a visual training program designed to improve speed of processing skills using the Visual Attention Analyzer in two specific areas: (1) the possibility of improved speed of processing abilities for students and/or young adults and (2) the possibility of a carry over effect for improved processing abilities into other visual processing areas such as reading ability. Significant differences in speed of processing abilities and other characteristics of 'reading disabled' students relative to age matched peers were shown through various areas of the eleven item test protocol. Applied correctly, the comparisons, correlations, and analysis information contained within this project could be used to enhance the early detection and identification of reading deficits. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","","",NA,NA,""
"rayyan-177329545","Concurrent validity and screening efficiency of The Dyslexia Screener.",NA,1,1,"","",5,3,"","","","eng","American Psychological Association",NA,"The concurrent criterion-related validity and screening efficiency of a recently developed scale, The Dyslexia Screener (TDS), was investigated by examining its relation to the Reading Cluster of the Woodcock-Johnson Psychoeducational Assessment Battery (WJ) in a sample of 100 nonreferred children participating in a longitudinal study. Results supported the validity of the TDS; TDS scores correlated moderately with the WJ Reading Cluster and its subtests, <i>p</i> < .001. In addition, the TDS contributed significantly to the prediction of WJ Reading Cluster scores in stepwise multiple regression, even after accounting for intelligence and teacher-rated reading level. Prediction–performance comparison analyses showed a high degree of correspondence between the TDS and the WJ, with an 87% overall hit rate, 98% negative predictive value, 35% positive predictive value, and sensitivity and specificity rates of 75% and 88%, respectively. Implications for mass screening are discussed. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","10.1037/1040-3590.5.3.369","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Included"", ""rater2""=>""Excluded"", ""rater3""=>""Excluded""} | RAYYAN-LABELS: bloque 1 | USER-NOTES: {""rater1""=>[""tengo duda al ser un estudio longitudinal""]}"
"rayyan-177329546","ERPs reveal the time-course of aberrant visual-phonological binding in developmental dyslexia.",NA,1,1,"","",10,NA,"","","","eng","Frontiers Media S.A.",NA,"New evidence is accumulating for a deficit in binding visual-orthographic information with the corresponding phonological code in developmental dyslexia. Here, we identify the mechanisms underpinning this deficit using event-related brain potentials (ERPs) in dyslexic and control adult readers performing a letter-matching task. In each trial, a printed letter was presented synchronously with an auditory letter name. Incongruent (mismatched), frequent trials were interleaved with congruent (matched) infrequent target pairs, which participants were asked to report by pressing a button. In critical trials, incongruent letter pairs were mismatched but confusable in terms of their visual or phonological features. Typical readers showed early detection of deviant trials, indicated by larger modulation in the range of the phonological mismatch negativity (PMN) compared with standard trials. This was followed by stronger modulation of the P3b wave for visually confusable deviants and an increased lateralized readiness potential (LRP) for phonological deviants, compared with standards. In contrast, dyslexic readers showed reduced sensitivity to deviancy in the PMN range. Responses to deviants in the P3b range indicated normal letter recognition processes, but the LRP calculation revealed a specific impairment for visual-orthographic information during response selection in dyslexia. In a follow-up experiment using an analogous non-lexical task in the same participants, we found no reading-group differences, indicating a degree of specificity to over-learnt visual-phonological binding. Our findings indicate early insensitivity to visual-phonological binding in developmental dyslexia, coupled with difficulty selecting the correct orthographic code. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","10.3389/fnhum.2016.00071","",NA,NA,""
